id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1664789,2022-01-03,000001,Vente,340000,7,,RUE CHAMPOLLION,1730,75005,75105,Paris 5e Arrondissement,75,,,75105000BN0027,,,16,,,,,,,,,,1,2,Appartement,29,2,,,,,,2.342998,48.84956
2022-1664805,2022-01-06,000001,Vente,268500,8,,RUE DES FOSSES ST JACQUES,3749,75005,75105,Paris 5e Arrondissement,75,,,75105000BI0048,,,12,15,,,,,,,,,1,2,Appartement,12,1,,,,,,2.343819,48.845741
2022-1664806,2022-01-13,000001,Vente,489000,19,,RUE LINNE,5696,75005,75105,Paris 5e Arrondissement,75,,,75105000AG0021,,,4,79.02,,,,,,,,,1,4,Local industriel. commercial ou assimilé,60,0,,,,,,2.354438,48.844918
2022-1664809,2022-01-14,000001,Vente,30000,9,,RUE LAROMIGUIERE,5360,75005,75105,Paris 5e Arrondissement,75,,,75105000AZ0027,,,203,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.347325,48.843748
2022-1664820,2022-01-12,000001,Vente,425000,13,,AV DES GOBELINS,4209,75005,75105,Paris 5e Arrondissement,75,,,75105000AV0018,,,29,33.91,,,,,,,,,1,2,Appartement,33,2,,,,,,2.351868,48.837755
2022-1664820,2022-01-12,000001,Vente,425000,13,,AV DES GOBELINS,4209,75005,75105,Paris 5e Arrondissement,75,,,75105000AV0018,,,29,33.91,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351868,48.837755
2022-1664864,2022-01-11,000001,Vente,1740000,25,B,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0140,,,117,115.08,130,,,,,,,,2,3,Dépendance,,0,,,,,,2.35922,48.839881
2022-1664864,2022-01-11,000001,Vente,1740000,25,B,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0140,,,117,115.08,130,,,,,,,,2,2,Appartement,117,4,,,,,,2.35922,48.839881
2022-1664865,2022-01-24,000001,Vente,270000,34,,RUE GEOFFROY ST HILAIRE,4108,75005,75105,Paris 5e Arrondissement,75,,,75105000AM0021,,,2,23.89,,,,,,,,,1,4,Local industriel. commercial ou assimilé,25,0,,,,,,2.356337,48.840979
2022-1664869,2022-01-03,000001,Vente,185000,3,,RUE NICOLAS HOUEL,6761,75005,75105,Paris 5e Arrondissement,75,,,75105000AQ0033,,,33,,9,34.8,,,,,,,2,2,Appartement,36,2,,,,,,2.362185,48.842014
2022-1664869,2022-01-03,000001,Vente,185000,3,,RUE NICOLAS HOUEL,6761,75005,75105,Paris 5e Arrondissement,75,,,75105000AQ0033,,,33,,9,34.8,,,,,,,2,3,Dépendance,,0,,,,,,2.362185,48.842014
